name,difficulty
Ditch of Doom,green
Funny Bunny,green
Gold Rush,green
Graduation,green
Hay Flat,green
School Run,green
Snowkirk,green
Squirrel Ridge,green
Trench of Terror,green
Bark Shanty,blue
Buckboard,blue
Caples Crest Traverse,blue
Flying Carpet,blue
Free N Easy,blue
Hole N Wall,blue
Home Run,blue
Jambi's Jaunt,blue
Jane's Jaunt,blue
Juniper,blue
Low Whiskey,blue
Lower Monte Wolfe,blue
Lower Zachary,blue
Mokelumne,blue
Outlaw,blue
Scott's Run,blue
Up N Over,blue
Whiskey Slide,blue
Conestoga,black
Eagle Bowl,black
Fireball,black
Headwaters,black
High Whiskey,black
Jeff's Line,black
Jim's,black
KGF,black
Lightning,black
Look Out Janek,black
Lost Cabin,black
Lower Lookout Janek,black
Lower Olympic,black
Monte Wolfe,black
Olympic,black
Palisades Bowl,black
Rabbit Runs,black
Sentinel,black
Sentinel Bowl,black
Short Spoke,black
Shotgun,black
Snow Snake Gully,black
Stump Run,black
The Drain,black
Thunder Saddle,black
Wagon Trail,black
Zachary,black
Bogie's Slide,double-black
Boylermaker,double-black
Chamonix,double-black
Dick's Drop,double-black
Hell's Delight,double-black
Norm's Nose,double-black
One Man Chute,double-black
Shot 5,double-black
The Wall,double-black
Two Man Chute,double-black
Wagon Wheel Bowl,double-black
Bandit Terrain Park,terrain
Outlaw Terrain Park,terrain
Bud's Alley,blue
Devil's Coral,blue
Devil's Draw,blue
Easy Rider,blue
Elevator Shaft,blue
Happiness Is,blue
Herringbone Straight,blue
Upper Bud's Alley,blue
Button Bowl,black
Cold Shoulder,black
Covered Wagon,black
Coyote,black
Deadwood Spur,black
Fawn Ridge,black
Hully Gully,black
Larry's Lip,black
Sunnyside,black
The Wave,black
Upper Devil's Draw,black
