name,difficulty
Ax Handle,blue
Back Door,blue
Bearly,green
Boca,black
Boondocks,blue
Burnout,black
Cascades,blue
Castle Peak,blue
Cat's Face,blue
Challenger,black
Christmas Tree,blue
Comstock Glade,black
Condo Run,green
Corridor,black
Cowboy Pass,black
Coyote Fork,blue
Crosscut,black
Delight,black
Down Under,black
Drifter,blue
Drifter Connector,blue
Drop Off,blue
Dutchman,black
East Ridge,blue
Easy Street,green
Flying Squirrel,black
Follow Me,black
Forerunner,blue
Gateway,blue
Goldmine,blue
Gooseneck,black
Grouse Alley,black
Home Run,blue
Hoot Owl,blue
Hornet's Nest,black
Iron Horse,black
Lil Stash,green
Logger's Loop,blue
Lookout Bypass,blue
Lookout Glade,black
Lookout Road,blue
Lower Burnout,black
Lower Jibboom,black
Lower Lion's Way,green
Lower Main Street,green
Luggis,blue
Lumberjack,green
Martis,black
Monument Glade,black
Moonshine,blue
Northern Lights,blue
Overland Trail,blue
Pinball,blue
Pioneer,blue
Pipeline,blue
Playground,blue
Polaris,black
Powder Bowl,black
Promised Land,black
Prosser,black
Rail Splitter,black
Rendezvous Glade,black
Sawmill Glade,black
Schwarzstrasse,blue
Shortcut,blue
Sidewinder,blue
Sierra Grande,black
Skid Trail,green
Sodergren's,blue
Spring Board,black
Stampede,black
Straits,blue
Stump Alley,blue
Sugar Pine Glade,black
Surprise,black
The Camp Glade,black
The Chute,black
The Face,black
The Flume,blue
The Glades,blue
The Gulch,green
The Gully,blue
The Islands,blue
The Plunge,black
The Rapids,black
The Stash,blue
The Woods,blue
Timberline,blue
Tonini's,black
Upper Jibboom,blue
Upper Lion's Way,blue
Upper Main Street,blue
Upper Martis,black
Upper Pioneer,blue
Village Run,green
Washoe,blue
West Ridge,blue
Why Not,black
Woodchuck,blue
Woodcutter,green
